Rk,Gcar,Gtm,Date,Team,Unnamed: 5,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1.0,303.0,1.0,10/22/2024,MIN,@,LAL,"L, 103-110",1,41:04:00,10.0,25.0,0.4,5.0,13.0,0.385,5.0,12.0,0.417,0.5,2.0,3.0,0.667,0.0,6.0,6.0,3.0,0.0,0.0,4.0,3.0,27.0,11.8,0.0
2.0,304.0,2.0,10/24/2024,MIN,@,SAC,"W, 117-115",1,39:12:00,10.0,24.0,0.417,5.0,15.0,0.333,5.0,9.0,0.556,0.521,7.0,7.0,1.0,1.0,6.0,7.0,4.0,1.0,0.0,3.0,4.0,32.0,20.9,8.0
3.0,305.0,3.0,10/26/2024,MIN,,TOR,"W, 112-101",1,39:11:00,9.0,21.0,0.429,5.0,12.0,0.417,4.0,9.0,0.444,0.548,1.0,3.0,0.333,0.0,6.0,6.0,4.0,1.0,1.0,4.0,3.0,24.0,13.2,5.0
4.0,306.0,4.0,10/29/2024,MIN,,DAL,"L, 114-120",1,37:20:00,12.0,20.0,0.6,7.0,13.0,0.538,5.0,7.0,0.714,0.775,6.0,12.0,0.5,0.0,6.0,6.0,3.0,0.0,1.0,5.0,1.0,37.0,24.6,-8.0
5.0,307.0,5.0,11/1/2024,MIN,,DEN,"W, 119-116",1,38:18:00,11.0,23.0,0.478,7.0,14.0,0.5,4.0,9.0,0.444,0.63,0.0,0.0,,0.0,4.0,4.0,4.0,1.0,1.0,2.0,1.0,29.0,20.6,5.0
6.0,308.0,6.0,11/2/2024,MIN,@,SAS,"L, 103-113",1,35:33:00,8.0,17.0,0.471,3.0,7.0,0.429,5.0,10.0,0.5,0.559,2.0,4.0,0.5,0.0,5.0,5.0,2.0,2.0,0.0,3.0,0.0,21.0,13.4,-20.0
7.0,309.0,7.0,11/4/2024,MIN,,CHO,"W, 114-93",1,29:05:00,6.0,11.0,0.545,4.0,6.0,0.667,2.0,5.0,0.4,0.727,5.0,7.0,0.714,0.0,5.0,5.0,1.0,1.0,0.0,1.0,1.0,21.0,16.7,9.0
8.0,310.0,8.0,11/7/2024,MIN,@,CHI,"W, 135-119",1,34:49:00,13.0,23.0,0.565,5.0,9.0,0.556,8.0,14.0,0.571,0.674,2.0,2.0,1.0,3.0,5.0,8.0,6.0,0.0,1.0,2.0,2.0,33.0,27.8,15.0
9.0,311.0,9.0,11/8/2024,MIN,,POR,"W, 127-102",1,30:07:00,12.0,21.0,0.571,9.0,15.0,0.6,3.0,6.0,0.5,0.786,4.0,5.0,0.8,0.0,6.0,6.0,5.0,1.0,1.0,6.0,2.0,37.0,26.9,29.0
10.0,312.0,10.0,11/10/2024,MIN,,MIA,"L, 94-95",1,37:16:00,8.0,24.0,0.333,4.0,14.0,0.286,4.0,10.0,0.4,0.417,2.0,3.0,0.667,1.0,4.0,5.0,6.0,2.0,0.0,6.0,3.0,22.0,8.9,2.0
11.0,313.0,11.0,11/12/2024,MIN,@,POR,"L, 108-122",1,37:01:00,8.0,19.0,0.421,4.0,10.0,0.4,4.0,9.0,0.444,0.526,6.0,6.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,2.0,26.0,18.9,-20.0
12.0,314.0,12.0,11/13/2024,MIN,@,POR,"L, 98-106",1,40:08:00,10.0,25.0,0.4,0.0,9.0,0.0,10.0,16.0,0.625,0.4,4.0,4.0,1.0,0.0,4.0,4.0,4.0,4.0,1.0,3.0,2.0,24.0,15.4,-1.0
13.0,315.0,13.0,11/15/2024,MIN,@,SAC,"W, 130-126 (OT)",1,41:56:00,14.0,27.0,0.519,6.0,14.0,0.429,8.0,13.0,0.615,0.63,2.0,2.0,1.0,1.0,4.0,5.0,2.0,0.0,0.0,2.0,4.0,36.0,22.4,16.0
14.0,316.0,14.0,11/17/2024,MIN,,PHO,"W, 120-117",1,38:50:00,9.0,14.0,0.643,3.0,7.0,0.429,6.0,7.0,0.857,0.75,3.0,3.0,1.0,0.0,4.0,4.0,6.0,1.0,0.0,2.0,2.0,24.0,21.4,-6.0
15.0,317.0,15.0,11/21/2024,MIN,@,TOR,"L, 105-110",1,36:01:00,9.0,20.0,0.45,5.0,9.0,0.556,4.0,11.0,0.364,0.575,3.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,26.0,18.1,4.0
16.0,318.0,16.0,11/24/2024,MIN,@,BOS,"L, 105-107",1,39:17:00,9.0,21.0,0.429,6.0,11.0,0.545,3.0,10.0,0.3,0.571,4.0,4.0,1.0,0.0,9.0,9.0,7.0,0.0,0.0,3.0,3.0,28.0,20.3,2.0
17.0,319.0,17.0,11/26/2024,MIN,,HOU,"L, 111-117 (OT)",1,43:15:00,8.0,22.0,0.364,3.0,12.0,0.25,5.0,10.0,0.5,0.432,10.0,10.0,1.0,3.0,7.0,10.0,1.0,1.0,3.0,3.0,1.0,29.0,21.4,-14.0
18.0,320.0,18.0,11/27/2024,MIN,,SAC,"L, 104-115",1,37:25:00,9.0,24.0,0.375,4.0,9.0,0.444,5.0,15.0,0.333,0.458,7.0,8.0,0.875,1.0,4.0,5.0,5.0,3.0,0.0,1.0,0.0,29.0,22.8,-5.0
